College_Name,State,Stream,UG_fee,PG_fee,Rating,Academic,Accommodation,Faculty,Infrastructure,Placement,Social_Life,Placement_Rate,Avg_Package,,,Courses_Offered
Indian Institute of Technology Madras ,Tamil nadu,Engineering,"75,116","23,070",8.7,9,7.9,8.7,8.8,8.8,9,80,600000,,,
"College of Engineering, Anna University ",Tamil nadu,Engineering,"50,000","50,000",8.4,8.7,7.7,8.1,8.7,8.3,8.7,81,1300000,,,
"NIT Trichy, Tiruchirappalli ",Tamil nadu,Engineering,"1,49,250","99,250",8.5,8.6,7.8,8.2,8.7,8.8,8.7,82,600000,,,
Vellore Institute of Technology ,Tamil nadu,Engineering,"1,98,000","1,83,000",8.3,8.3,8,7.8,8.9,8.5,8.5,83,1400000,,,
"SRM Engineering College, Kanchipuram ",Tamil nadu,Engineering,"2,60,000","1,70,000",7.2,6.5,6.6,6.9,7.6,8.5,8.3,84,400000,,,
SSN College of Engineering ,Tamil nadu,Engineering,"50,000","50,000",8.6,8.9,7.6,8.7,9.1,8.3,8.8,92,1400000,,,
"SASTRA University, Thanjavur ",Tamil nadu,Engineering,"1,67,000","1,57,000",8.1,8.5,7,8.2,8.3,8.7,8.1,92,800000,,,
P.S.G College of Technology ,Tamil nadu,Engineering,"87,000","1,54,000",9,9.2,8.7,8.9,9,9.1,8.8,90,700000,,,
Thiagarajar College of Engineering ,Tamil nadu,Engineering,"50,000","50,000",8.6,8.9,7.9,8.6,8.6,8.7,8.6,,1200000,,,
Coimbatore Institute of Technology ,Tamil nadu,Engineering,"23,670","1,32,710",8,8.5,6.8,8.2,7.4,8.4,8.5,78,1200000,,,
Karunya Institute of Technology and Sciences ,Tamil nadu,Engineering,"2,13,500","1,21,500",7.9,7.9,7.9,7.9,8.5,7.5,7.4,80,800000,,,
Kumaraguru College of Technology ,Tamil nadu,Engineering,"50,000","50,000",8.2,8.3,7.6,8,8.8,7.9,8.5,94,1300000,,,
"VEL Tech, Chennai ",Tamil nadu,Engineering,"50,000",--,8.2,8.5,8.5,8.1,7.8,8.3,8.1,90,700000,,,
"Mepco Schlenk Engineering College, Sivakasi ",Tamil nadu,Engineering,"1,34,000","1,04,150",8.1,8.5,8.1,8.3,8.6,7.9,7,70,1000000,,,
Government College of Technology ,Tamil nadu,Engineering,"9,180","10,110",8.1,8.4,7.1,8.3,8,8,8.8,75,900000,,,
Hindustan Institute of Technology and Science ,Tamil nadu,Engineering,"2,29,500","1,25,500",7.6,7.8,6.9,7.8,7.9,6.9,8,93,700000,,,
Sri Krishna College of Engineering and Technology ,Tamil nadu,Engineering,"50,000","50,000",8.1,8.2,7.4,8.2,9,8.2,7.7,91,1300000,,,
Kongu Engineering College ,Tamil nadu,Engineering,"60,000","65,000",8.3,8.3,7.7,8.3,8.9,8.3,8.3,57,500000,,,
Bannari Amman Institute of Technology ,Tamil nadu,Engineering,"60,000","35,000",8.3,8.2,8.1,8,9.1,8.1,8.2,90,400000,,,
"Sona College of Technology, Salem ",Tamil nadu,Engineering,"2,00,000","2,29,000",8.1,8.5,7.3,8.3,8.3,7.9,8.5,100,700000,,,
Tamil Nadu Veterinary and Animal Sciences University ,Tamil nadu,Engineering,"21,415","33,325",8.3,8.4,8,8.4,8.2,8.2,8.4,93,700000,,,
"St. Joseph College Of Engineering, Kanchipuram ",Tamil nadu,Engineering,"60,000","65,000",8,7,--,--,9,8,--,85,400000,,,
Saveetha Engineering College ,Tamil nadu,Engineering,"85,000","60,000",8,8.1,7.3,8.1,8.6,7.7,7.9,98,900000,,,
"Sri Sairam Engineering College, Chennai ",Tamil nadu,Engineering,"50,000","25,000",7.7,8.4,7.3,7.9,8.2,7.9,6.7,92,700000,,,
B.S. Abdur Rahman Crescent Institute of Science ,Tamil nadu,Engineering,"85,000","40,000",8.2,8.4,7.8,8.3,8.7,7.7,8.2,78,400000,,,
Sri Ramakrishna Engineering College ,Tamil nadu,Engineering,"55,000","60,000",8.1,8.4,7.7,8,8.3,8.3,8,82,400000,,,
Rajalakshmi Engineering College ,Tamil nadu,Engineering,"50,000","50,000",7.8,8.1,6.3,8.1,8,8.3,7.7,95,400000,,,
Sri Venkateswara College of Engineering ,Tamil nadu,Engineering,"65,000","60,000",8.2,8.4,7.4,8.4,8.6,8.1,8,90,1100000,,,
IIT Bombay ,Maharashtra,Engineering,"2,28,000","32,000",8.9,9.3,7.9,8.7,8.9,9.1,9.2,82,1300000,,,
Institute of Chemical Technology ,Maharashtra,Engineering,"85,350","70,750",8.7,9.1,8.1,8.9,8.7,8.4,9.1,,1100000,,,
Visvesvaraya National Institute of Technology ,Maharashtra,Engineering,"1,49,200","93,600",8.1,8.3,7.5,8,8.4,7.7,8.7,85,500000,,,
College of Engineering ,Maharashtra,Engineering,"40,500","64,500",8.6,8.7,8.2,8.1,8.5,8.7,9.1,,1400000,,,
Defence Institute of Advanced Technology ,Maharashtra,Engineering,"1,53,600","45,000",8.8,9,8.6,8.8,9,8.6,8.6,70,1000000,,,
National Institute of Industrial Engineering ,Maharashtra,Engineering,"5,98,000","1,04,000",9,9,9,9,9,9.3,8.6,89,1100000,,,
Army Institute of Technology ,Maharashtra,Engineering,"1,80,197","1,20,560",8.3,8,8.5,7.6,7.9,8.7,9,96,1100000,,,
Bharati Vidyapeeth Deemed University ,Maharashtra,Engineering,"1,20,000","50,000",7.8,8.1,6.8,7.9,8.1,7.7,8.2,95,1400000,,,
Veermata Jijabai Technological Institute ,Maharashtra,Engineering,"84,051","83,734",7.9,8.2,7.2,7.8,7.1,8.7,8.4,60,1300000,,,
GH Raisoni College of Engineering ,Maharashtra,Engineering,"5,60,000","1,32,000",8.4,8.5,8,8.4,8.5,8,8.8,87,1400000,,,
Mukesh Patel School of Technology Management and ,Maharashtra,Engineering,"4,52,000","5,01,500",8.2,8.1,8,7.8,8.7,8.1,8.3,76,1000000,,,
Sardar Patel Institute of Technology ,Maharashtra,Engineering,"1,70,000","1,68,000",8.1,8.4,6.9,7.9,8.3,9.1,8.1,95,800000,,,
Shri Ramdeobaba College of Engineering and Management ,Maharashtra,Engineering,"1,45,000","1,25,000",8.1,8.3,7.6,8,7.9,8.3,8.2,85,400000,,,
Rashtrasant Tukadoji Maharaj Nagpur University ,Maharashtra,Engineering,"33,600","60,000",7.5,8,7.2,7.7,7.9,6.9,7.4,60,1200000,,,
Yeshwantrao Chavan College of Engineering ,Maharashtra,Engineering,"1,51,801","1,53,328",7.6,7.7,7,7.6,8.2,7.2,7.6,80,1000000,,,
Walchand College of Engineering ,Maharashtra,Engineering,"84,935","96,550",8.3,8.4,7.3,8.3,8.4,8.8,8.4,88,500000,,,
MIT World Peace University ,Maharashtra,Engineering,"3,10,000","1,90,000",8,8.1,7,8,8.5,7.7,8.4,80,900000,,,
Vishwakarma Institute of Information Technology ,Maharashtra,Engineering,"1,64,000","78,000",7.8,8.2,6.8,8.1,7.4,8,8.1,65,500000,,,
Ramrao Adik Institute of Technology ,Maharashtra,Engineering,"3,25,000","1,50,000",8.6,8.2,8,8.1,9,8.7,9.3,87,400000,,,
Sardar Patel College of Engineering ,Maharashtra,Engineering,"1,70,000","1,68,000",8,8.3,7.2,7.9,8,8.1,8.2,99,1000000,,,
K. J. Somaiya College of Engineering ,Maharashtra,Engineering,"2,86,000","1,96,800",8.2,8.2,8,7.7,8.7,8,8.5,,500000,,,
Pimpri Chinchwad College of Engineering ,Maharashtra,Engineering,"1,38,559","1,07,687",8.1,8.7,7.6,8.1,7.9,8.6,7.5,85,500000,,,
"MKSSS's Cummins College of Engineering for Women, ",Maharashtra,Engineering,"1,80,836","1,55,200",8.3,8.3,8,8.1,7.8,9,8.6,,1400000,,,
Dwarkadas J Sanghvi College of Engineering ,Maharashtra,Engineering,"1,94,000","1,39,000",8.2,8.2,7.7,8.2,8.4,8.3,8.2,96,800000,,,
Thakur College of Engineering and Technology ,Maharashtra,Engineering,"1,47,500","1,36,931",8.2,8.1,8,7.9,9.1,7.9,8.4,87,800000,,,
SVKM's Narsee Monjee Institute of Management Studies ,Maharashtra,Engineering,"3,02,000",--,8.2,8.5,6.8,8.6,8.3,8.3,8.7,100,1000000,,,
"Amity University, Mumbai ",Maharashtra,Engineering,"2,22,000","1,50,000",8.1,7.9,7.6,8.2,8.4,7.8,8.6,55,400000,,,
"Vishwakarma Institute of Technology, Pune ",Maharashtra,Engineering,"1,79,895","88,765",7.5,8.1,6.5,7.9,6.5,7.8,8.4,92,1100000,,,
Indian Institute of Information Technology ,Maharashtra,Engineering,"2,34,500","1,00,500",7.8,8.2,7.5,8,7.2,8.4,7.5,76,600000,,,
Tata Institute of Social Sciences ,Maharashtra,Engineering,--,--,8.6,9,8.1,8.9,8.6,8.4,8.6,100,700000,,,
Indian Institute of Technology ,Uttar pradesh,Engineering,"2,15,600","2,14,050",8.9,9.1,8.4,8.7,9.3,8.9,9.1,91,1200000,,,
Indian Institute of Technology ,Uttar pradesh,Engineering,"84,981","36,815",8.5,8.5,8.2,8.1,7.6,9.1,9.2,91,700000,,,
"Amity University, Noida ",Uttar pradesh,Engineering,"3,11,000","1,40,000",8.2,8,7.9,8.1,8.9,7.6,8.7,85,1300000,,,
Aligarh Muslim University ,Uttar pradesh,Engineering,"2,69,445","4,30,970",8.3,8.8,7.9,8.5,8.8,7.2,8.6,83,800000,,,
MNNIT Allahabad ,Uttar pradesh,Engineering,"84,666","1,18,000",8,8.4,7.3,7.8,7.1,8.9,8.2,93,1000000,,,
Jaypee Institute of Information Technology University ,Uttar pradesh,Engineering,"2,36,500","1,20,000",7.8,7.8,7.7,7.3,8.2,7.8,7.7,97,700000,,,
Indian Institute of Information Technology ,Uttar pradesh,Engineering,"1,04,000","2,80,400",8.3,8.4,7.4,7.6,9,9.2,8.1,100,400000,,,
"Dayalbagh Educational Institute Faculty of Engineering, Agra ",Uttar pradesh,Engineering,"51,300","26,500",8,8.3,7.1,8.5,8.1,8.2,8,84,1200000,,,
Sharda University ,Uttar pradesh,Engineering,"1,63,770","97,850",7.9,7.7,7.6,7.9,8.6,6.9,8.6,91,700000,,,
Galgotias University ,Uttar pradesh,Engineering,"1,59,000","45,000",7.6,7.9,6.9,7.9,7.5,7.7,7.8,,1200000,,,
"Bennett University, Greater Noida ",Uttar pradesh,Engineering,"3,50,000","60,000",8.6,8.5,7.9,8.8,9.2,8.3,8.6,90,900000,,,
Shiv Nadar University ,Uttar pradesh,Engineering,"2,00,000","1,60,000",9,8.8,8.7,8.8,9.6,8.5,9.4,93,400000,,,
"Integral University, Lucknow ",Uttar pradesh,Engineering,"1,40,000","80,000",7.4,7.6,7.3,7.4,8,6.5,7.4,,600000,,,
J.S. University ,Uttar pradesh,Engineering,"47,500","13,500",8.5,8.5,7.8,8.7,9,8.2,8.6,,1400000,,,
